mol_wt,logp,h_donors,h_acceptors,tpsa,smiles
1.1589078365854324,-0.2545824072713895,1.6171932926658144,2.4476662487899046,2.376208143066173,COc1ccc(-c2c(C)c(C(=O)O)nc(-c3ccc4c(O)c(OC)c5c(c4n3)=NC(C)(C)N=5)c2N)c(O)c1OC
0.06002059923942959,-0.5197956782335384,-0.4034011094072929,0.7425337478929166,0.21464113733911808,CC[C@]1(C)OC2(OCC(CO)O2)C(OC(C)C)=C1c1ccc(S(C)(=O)=O)cc1
0.7869406847220863,-1.254642174252016,0.943661825308112,3.7265156244626456,2.942582559211683,COc1nc(OC(=O)C(N)C(C)C)nc(Oc2c(OC)cc(Cc3cnc(N)nc3N)cc2OC)n1
0.07694396486177685,0.9833239335782877,0.943661825308112,-0.9625987530040712,-0.29738421867121617,CC(=O)Nc1ccc(-c2n[nH]c3c2Cc2cc(CN[C@H]4CC[C@H](C)CC4)ccc2-3)cc1
-0.46071359097906894,-0.26084720278403306,-1.0769325767649953,-0.5363156277798242,-0.3727101090340027,CC(C)N(Cc1ccccn1)S(=O)(=O)N1CCCC1c1ccco1
0.06782566537565178,-0.3330918326200396,0.27013035795040957,0.3162506226686697,0.036099707333652746,COc1c(-c2cc3n(c2)CCN[C@@H]3C)c(F)cc2c1N(C1CC1)CC(C(=O)O)C2=O
0.28378234713626566,1.1347141728167245,-0.4034011094072929,-0.11003250255557723,-0.4618616375013517,CN(Cc1ccc(COC(=O)C(O)(c2ccccc2)C2CCCCC2)o1)C1CCCCC1
-1.5939678973121796,-0.2664003347788907,-1.0769325767649953,-2.241448128676812,-1.8689778742466983,C[n+]1cc2ccccc2c2cc(F)ccc21
-0.6838971858287752,-1.1805105578158162,-1.0769325767649953,-0.11003250255557723,-0.3786694358032105,O=S(=O)(C1CC1)N1CCC2(CCCN(c3ncccn3)C2)C1
-1.1638137709200713,-0.07535102859465866,-1.0769325767649953,-0.9625987530040712,-1.1297829817941623,Cc1ccc(-n2c(C)nc3ccccc3c2=O)cc1C
0.9273327632231331,0.9336692290417483,0.943661825308112,0.7425337478929166,0.9195103076010173,O=S(=O)(Nc1cc(Sc2ncnc3nc[nH]c23)c(O)c2ccccc12)c1ccc(C(F)(F)F)cc1
-0.6033769850224026,-0.5509579140881741,0.943661825308112,-0.9625987530040712,0.43704321236595395,N[C@@](CCc1ccc(Cl)c(Cl)c1)(C(=O)O)C1C[C@@H]1C(=O)O
-0.08203160443979962,-0.5508500862824485,-0.4034011094072929,-0.5363156277798242,0.09950694415802369,NS(=O)(=O)c1ccc(CCOC(=O)c2c(F)c(F)c(F)c(F)c2F)cc1
-1.2876376349562944,-2.1945771567601695,-0.4034011094072929,-0.9625987530040712,0.03395434969673786,CC1CCN(S(=O)(=O)N(C)CC(N)=O)CC1
-1.139002745869057,-0.1744555648368571,-1.0769325767649953,-0.5363156277798242,-1.0094045810561647,Cc1ccc(C)c(OCCn2nnc3ccccc32)c1
0.42205177802142757,0.6781173294725931,0.27013035795040957,0.7425337478929166,0.13550127784403862,CN(C)C(=O)Cn1nc(Nc2c(Cl)cccc2Cl)c2cnc(Nc3ccccc3)nc21
-0.4993342145271856,-1.959296884667387,-0.4034011094072929,0.7425337478929166,0.49806671848264156,O=C(COn1nnc2ccc(Cl)cc21)NC1CCS(=O)(=O)C1
0.5931190053372154,1.7255027203860933,0.943661825308112,-0.9625987530040712,-0.7676942872970961,Cl.Cl.Cl.NCCCNCCCNCCC1CCCCCCCCCCCCCC1
0.92898462907207,0.5702356098443495,0.27013035795040957,-0.5363156277798242,0.10928024005952475,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCCCC2)C(=O)[C@@H](O)Cc2ccccc2)c1
-0.833267155218788,0.49847620513410695,-1.0769325767649953,-0.5363156277798242,-1.0034452542869567,c1ccc(OCCn2c(-c3ccco3)nc3ccccc32)cc1
-1.8171432328326405,-0.43633695660209254,0.27013035795040957,-1.388881878228318,-0.8589911734013597,Nc1ccc(-c2ccccc2O)cc1
-0.4369184634251505,0.14544796918920622,-0.4034011094072929,-0.5363156277798242,-0.7433802340787282,O=C(Cn1sc2cccc(C(F)(F)F)c2c1=O)Nc1ccccc1
-0.3370383948692513,-0.2386346748046049,0.27013035795040957,-0.11003250255557723,-0.18963959068393882,O=C1NC(c2ccccc2)(c2ccccc2)C(=O)N1CNc1nccs1
3.938725502479178,2.7959093478219588,-1.0769325767649953,3.3002324992383985,1.2334476418028844,C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](OC(=O)CCCCCCn1cc(CCC(=O)O[C@H](c2ccnc3ccc(OC)cc23)[C@@H]2C[C@@H]3CCN2C[C@@H]3C=C)nn1)c1ccnc2ccc(OC)cc12
-1.1475511516372998,-0.9997695898589309,-0.4034011094072929,-0.5363156277798242,0.08305920227500987,Cc1cc(C(=O)OCC2CCCN2C(N)=O)c(C)o1
1.0880427916660895,2.032811966703431,-0.4034011094072929,-0.9625987530040712,-1.2844871047227968,Cl.OC(CCCN1CCc2c(c3cc(F)ccc3n2-c2cccc(C(F)(F)F)c2)C1)c1ccc(F)cc1
-0.44457486163496684,-0.3807840710923758,-0.4034011094072929,0.3162506226686697,0.04444276481054354,Cc1nc(N(C)C)nc(-c2ccc(C(=O)NCc3ccno3)cc2)c1C
0.3827125928290244,0.49114391434478133,-0.4034011094072929,-0.5363156277798242,-0.14935454172409413,Cc1cc(C2CC2)c(-c2nc3c([nH]2)CN(C)CC3)cc1C(=O)N1CC(c2ccc(C#N)cc2)C1
-0.8325320749160116,-0.7239460628134043,-0.4034011094072929,-0.5363156277798242,-0.47258842568592546,Cc1cc(C(N)=O)c(N(C)CC[C@H](C)N2CCCC2)nc1C
1.8369409522688327,1.4136107923254246,-0.4034011094072929,1.1688168731171635,0.8479983863705239,CC(C)(C)OC(=O)N1CCN(C(=O)c2ccc(-c3cc(C(=O)O)cc(-n4cc(-c5ccc(C(F)(F)F)cc5)nn4)c3)s2)CC1
-0.337277915417346,-0.4353125924477019,-0.4034011094072929,-0.11003250255557723,-0.02683078334918201,C=CCOCn1c(C(=O)c2cccc3ccccc23)c(CC)c(=O)[nH]c1=O
-0.15534141081556457,-1.0856760026803427,-1.0769325767649953,-0.11003250255557723,0.040628795678250625,O=C1C(=O)N(Cc2ccccc2)c2ccc(S(=O)(=O)N3CCOCC3)cc21
-0.8016339242116695,-0.860962855548647,0.27013035795040957,-0.9625987530040712,-0.2506630968006268,N[C@@H](Cc1c[nH]cn1)C(=O)Cc1cccc(Br)c1
1.1416706164517874,0.9565502894166763,-1.0769325767649953,0.3162506226686697,-0.6775892665466741,Cc1c(C(c2ccccc2Br)c2c(C)n(C)n(-c3ccccc3)c2=O)c(=O)n(-c2ccccc2)n1C
0.3493861993267455,0.897762569735197,0.27013035795040957,0.7425337478929166,0.1507571543732106,CC(C)(C)OC(=O)NC1CCN(c2cccnc2Oc2ccc(Nc3ccccn3)cc2)C1
-0.8825175355048073,0.13067555980482934,-0.4034011094072929,-0.5363156277798242,-0.7405197572295085,CCOC(=O)c1ccncc1NCCCCc1ccccc1
0.31504390832737117,0.056748816199506835,0.943661825308112,0.3162506226686697,1.1245111484617651,N#Cc1ccc(Oc2ccc(-c3cc([C@H](O)CO)cc(C(N)=O)n3)cc2)cc1C(F)(F)F
-0.0031715288116057295,0.5183812180710127,-1.0769325767649953,-0.11003250255557723,-0.5028618056735011,COC(=O)c1cccc2c(=O)n3c(cc12)-c1nc2ccc(C)cc2c(CCl)c1C3
-0.6759186737784161,-0.3179420259156233,-0.4034011094072929,-0.5363156277798242,-0.36889613990170983,CC(C)N(Cc1nccn1C)C(=O)c1cccc(-c2cn[nH]c2)c1
0.20832511515687915,1.0391248230411732,-0.4034011094072929,-0.11003250255557723,0.2902054007726734,CCOC(=O)C(Cc1c[nH]c2ccc(-c3ccc(Oc4ccccc4)cc3)cc12)[N+](=O)[O-]
-0.15442462526940673,-0.3486190366444948,-0.4034011094072929,-0.5363156277798242,-0.6291995331807068,CCN(CC)CC1CCCCN1CC(=O)N1CC(C)C(=O)Nc2ccccc21
-1.1060315035242994,-1.546052210615147,0.943661825308112,-0.5363156277798242,0.3457463262616901,Cc1cc(=O)n(Cc2ccccc2)nc1CNC(=N)N
-0.5771123180243241,-0.45379427834903224,0.27013035795040957,-0.11003250255557723,0.04611137630592156,Cc1cccc(NC(=O)c2c(O)c3cccc4c3n(c2=O)CCC4)n1
-0.21266115577363515,0.7271574155164972,-0.4034011094072929,0.3162506226686697,-0.22849440121917394,Cc1cc(C(=O)Nc2nc3c(C)cccc3s2)c2c(C)nn(C(C)C)c2n1
0.2993511827624824,1.4079174841831241,-0.4034011094072929,-0.9625987530040712,-0.6532752133283062,Cc1cc(-c2ncc(CC(=O)Nc3ccc4c(c3)C(F)(F)c3ccccc3-4)cc2C)ccn1
-0.29879770046638926,0.6575599583110482,0.943661825308112,-1.815165003452565,-0.8194212436538197,N=C(Nc1ccc(Br)cc1)Nc1ccc(Br)cc1
-1.0561451548864418,-0.49677444171116947,-0.4034011094072929,-0.9625987530040712,-0.8277643011307106,C[C@@H](CNC(=O)COC1CCCC1)Oc1ccccc1
